--------------------------------------------------------------------------------
predicted_labels         	confidence score
--------------------------------------------------------------------------------
Theo                     	0.9999
truyên                   	0.9906
thuyêt                   	0.9303
khì                      	0.4742
thúy                     	0.2739
tỏ                       	0.6237
dàn                      	0.6043
tộc                      	0.9998
Lũ                       	0.4972
là                       	1.0000
Kinh                     	0.9992
Dương                    	0.9983
Vương                    	0.9989
hiện                     	1.0000
còn                      	0.9997
có                       	0.9997
mộ                       	0.9999
tai                      	0.9999
thôn                     	0.9758
Â                        	0.4211
Lữ                       	0.9963
Xã                       	0.9668
Đai                      	0.9984
Đồng                     	0.6003
Thành                    	0.9999
huyện                    	0.9999
Thuân                    	0.9777
Thành                    	0.9999
tỉnh                     	0.9655
Bắc                      	0.9984
Ninh                     	0.9993
Kinh                     	0.9993
Dương                    	0.9986
Vương                    	0.9995
làm                      	1.0000
vu8                      	0.1317
vào                      	0.9998
quãng                    	0.9995
nằm                      	0.8199
Nhâm                     	0.9981
Tuấc                     	0.5282
ZZ                       	0.1141
SYE                      	0.0323
trước                    	0.9999
Công                     	0.9704
nguyên)                  	0.2648
và                       	0.9993
lấy                      	0.9949
COI                      	0.3753
gái                      	0.9995
Thần                     	0.9982
Long                     	0.9989
VƯ4                      	0.0341
hồ                       	0.9993
Động                     	0.9973
Đình                     	0.9986
sinh                     	0.9999
được                     	0.9987
một                      	0.9998
COP                      	0.4194
trai                     	0.9998
đặt                      	0.9423
tên                      	0.5448
là                       	1.0000
Sùng                     	0.9993
Lãm                      	0.9991
nối                      	0.9987
ngôi                     	0.9883
làm                      	1.0000
Vuâ                      	0.1096
XIT22                    	0.0339
là                       	1.0000
Lạc                      	0.9866
Long                     	0.9993
Quân                     	0.9979
SũI                      	0.0473
lấy                      	0.9996
COI                      	0.1939
gái                      	0.9999
pế                       	0.8302
Lai                      	0.9986
là                       	1.0000
Âu                       	0.8391
Cơ                       	0.9882
sinh                     	0.9999
một                      	0.9999
bọc                      	0.9994
trăm                     	0.9997
trứng                    	0.9862
trăm                     	0.9783
xrứng                    	0.6368
ấy                       	0.9996
nở                       	0.9996
thành                    	0.9993
trăm                     	0.9923
COP                      	0.6417
trai                     	0.4000
--------------------------------------------------------------------------------
predicted_labels         	confidence score
--------------------------------------------------------------------------------
Theo                     	0.9999
truyên                   	0.9906
thuyêt                   	0.9303
khì                      	0.4742
thúy                     	0.2739
tỏ                       	0.6237
dàn                      	0.6043
tộc                      	0.9998
Lũ                       	0.4972
là                       	1.0000
Kinh                     	0.9992
Dương                    	0.9983
Vương                    	0.9989
hiện                     	1.0000
còn                      	0.9997
có                       	0.9997
mộ                       	0.9999
tai                      	0.9999
thôn                     	0.9758
Â                        	0.4211
Lữ                       	0.9963
Xã                       	0.9668
Đai                      	0.9984
Đồng                     	0.6003
Thành                    	0.9999
huyện                    	0.9999
Thuân                    	0.9777
Thành                    	0.9999
tỉnh                     	0.9655
Bắc                      	0.9984
Ninh                     	0.9993
Kinh                     	0.9993
Dương                    	0.9986
Vương                    	0.9995
làm                      	1.0000
vu8                      	0.1317
vào                      	0.9998
quãng                    	0.9995
nằm                      	0.8199
Nhâm                     	0.9981
Tuấc                     	0.5282
ZZ                       	0.1141
SYE                      	0.0323
trước                    	0.9999
Công                     	0.9704
nguyên)                  	0.2648
và                       	0.9993
lấy                      	0.9949
COI                      	0.3753
gái                      	0.9995
Thần                     	0.9982
Long                     	0.9989
VƯ4                      	0.0341
hồ                       	0.9993
Động                     	0.9973
Đình                     	0.9986
sinh                     	0.9999
được                     	0.9987
một                      	0.9998
COP                      	0.4194
trai                     	0.9998
đặt                      	0.9423
tên                      	0.5448
là                       	1.0000
Sùng                     	0.9993
Lãm                      	0.9991
nối                      	0.9987
ngôi                     	0.9883
làm                      	1.0000
Vuâ                      	0.1096
XIT22                    	0.0339
là                       	1.0000
Lạc                      	0.9866
Long                     	0.9993
Quân                     	0.9979
SũI                      	0.0473
lấy                      	0.9996
COI                      	0.1939
gái                      	0.9999
pế                       	0.8302
Lai                      	0.9986
là                       	1.0000
Âu                       	0.8391
Cơ                       	0.9882
sinh                     	0.9999
một                      	0.9999
bọc                      	0.9994
trăm                     	0.9997
trứng                    	0.9862
trăm                     	0.9783
xrứng                    	0.6368
ấy                       	0.9996
nở                       	0.9996
thành                    	0.9993
trăm                     	0.9923
COP                      	0.6417
trai                     	0.4000
